Network,School ID,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct,,,
ES Network - Fullerton,610088,Mozart,791,10,1.3,42,5.3,0,0.0,0,0.0,727,91.9,1,0.1,0,0.0,1,0.1,10,1.3,,,
ES Network - Fullerton,610095,Newberry Magnet,565,140,24.8,211,37.3,0,0.0,1,0.2,163,28.8,21,3.7,27,4.8,1,0.2,1,0.2,,,
ES Network - Fullerton,610097,Nixon,"1,099",8,0.7,36,3.3,0,0.0,10,0.9,"1,038",94.4,3,0.3,2,0.2,1,0.1,1,0.1,,,
ES Network - Fullerton,610051,Northwest Middle,692,15,2.2,20,2.9,0,0.0,4,0.6,649,93.8,1,0.1,3,0.4,0,0.0,0,0.0,,,
ES Network - Fullerton,610136,Prescott,270,85,31.5,39,14.4,0,0.0,4,1.5,120,44.4,10,3.7,12,4.4,0,0.0,0,0.0,,,
ES Network - Fullerton,610533,Prieto,"1,022",19,1.9,35,3.4,0,0.0,2,0.2,964,94.3,1,0.1,0,0.0,0,0.0,1,0.1,,,
ES Network - Fullerton,610138,Pulaski,900,88,9.8,17,1.9,0,0.0,4,0.4,767,85.2,8,0.9,9,1.0,1,0.1,6,0.7,,,
ES Network - Fullerton,610144,Reilly,"1,177",60,5.1,18,1.5,0,0.0,12,1.0,"1,073",91.2,4,0.3,9,0.8,0,0.0,1,0.1,,,
ES Network - Fullerton,610250,Salazar Bilingual,438,11,2.5,72,16.4,0,0.0,2,0.5,343,78.3,2,0.5,8,1.8,0,0.0,0,0.0,,,
ES Network - Fullerton,610165,Schubert,919,31,3.4,11,1.2,0,0.0,1,0.1,862,93.8,4,0.4,10,1.1,0,0.0,0,0.0,,,
ES Network - Fullerton,610534,Skinner North,301,117,38.9,45,15.0,1,0.3,1,0.3,33,11.0,14,4.7,66,21.9,1,0.3,23,7.6,,,
ES Network - Fullerton,610234,Yates,732,15,2.0,102,13.9,0,0.0,3,0.4,604,82.5,1,0.1,2,0.3,4,0.5,1,0.1,,,
ES Network - Fulton,609812,Brown W.,214,0,0.0,203,94.9,0,0.0,2,0.9,6,2.8,0,0.0,0,0.0,1,0.5,2,0.9,,,
ES Network - Fulton,609828,Burr,350,123,35.1,28,8.0,0,0.0,0,0.0,186,53.1,12,3.4,1,0.3,0,0.0,0,0.0,,,
ES Network - Fulton,609854,Chopin,267,9,3.4,22,8.2,0,0.0,2,0.7,211,79.0,0,0.0,2,0.7,3,1.1,18,6.7,,,
ES Network - Fulton,609863,Columbus,298,169,56.7,17,5.7,0,0.0,1,0.3,106,35.6,5,1.7,0,0.0,0,0.0,0,0.0,,,
ES Network - Fulton,610313,De Diego,807,16,2.0,82,10.2,0,0.0,4,0.5,681,84.4,6,0.7,8,1.0,0,0.0,10,1.2,,,
ES Network - Fulton,610252,Dett,202,1,0.5,199,98.5,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Fulton,610009,Galileo Magnet,603,49,8.1,128,21.2,0,0.0,1,0.2,381,63.2,16,2.7,24,4.0,3,0.5,1,0.2,,,
ES Network - Fulton,609989,Herbert,355,0,0.0,326,91.8,0,0.0,0,0.0,12,3.4,7,2.0,2,0.6,0,0.0,8,2.3,,,
ES Network - Fulton,610121,Irving,451,14,3.1,293,65.0,0,0.0,1,0.2,126,27.9,6,1.3,10,2.2,0,0.0,1,0.2,,,
ES Network - Fulton,610060,Jackson A. Magnet,561,135,24.1,130,23.2,4,0.7,2,0.4,146,26.0,16,2.9,124,22.1,0,0.0,4,0.7,,,
ES Network - Fulton,610023,King EL,284,1,0.4,219,77.1,0,0.0,0,0.0,51,18.0,0,0.0,1,0.4,0,0.0,12,4.2,,,
ES Network - Fulton,610031,Lafayette,470,11,2.3,160,34.0,0,0.0,2,0.4,287,61.1,8,1.7,2,0.4,0,0.0,0,0.0,,,
ES Network - Fulton,610520,LaSalle II Magnet,630,169,26.8,135,21.4,0,0.0,2,0.3,289,45.9,14,2.2,19,3.0,1,0.2,1,0.2,,,
ES Network - Fulton,610029,Lozano Bilingual,311,12,3.9,17,5.5,0,0.0,1,0.3,281,90.4,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Fulton,610073,Mitchell,345,67,19.4,36,10.4,0,0.0,5,1.4,222,64.3,5,1.4,3,0.9,4,1.2,3,0.9,,,
ES Network - Fulton,610075,Montefiore,27,0,0.0,20,74.1,0,0.0,0,0.0,7,25.9,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Fulton,610076,Moos,429,10,2.3,43,10.0,0,0.0,2,0.5,365,85.1,1,0.2,6,1.4,0,0.0,2,0.5,,,
ES Network - Fulton,610085,Nr North SPED Ctr,90,3,3.3,61,67.8,0,0.0,0,0.0,25,27.8,1,1.1,0,0.0,0,0.0,0,0.0,,,
ES Network - Fulton,610107,Otis,471,22,4.7,85,18.0,0,0.0,3,0.6,354,75.2,6,1.3,1,0.2,0,0.0,0,0.0,,,
ES Network - Fulton,610119,Peabody,266,2,0.8,59,22.2,0,0.0,1,0.4,201,75.6,2,0.8,0,0.0,0,0.0,1,0.4,,,
ES Network - Fulton,610229,Pritzker,676,169,25.0,232,34.3,0,0.0,1,0.1,216,32.0,31,4.6,23,3.4,2,0.3,2,0.3,,,
ES Network - Fulton,610320,Roque De Duprey,92,3,3.3,27,29.3,0,0.0,0,0.0,62,67.4,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Fulton,610308,Rudolph Lrng Ctr,96,5,5.2,36,37.5,0,0.0,0,0.0,49,51.0,2,2.1,1,1.0,0,0.0,3,3.1,,,
ES Network - Fulton,610342,Sabin Magnet,602,8,1.3,90,15.0,0,0.0,7,1.2,485,80.6,6,1.0,4,0.7,0,0.0,2,0.3,,,
ES Network - Fulton,610177,Skinner Classical,846,153,18.1,329,38.9,4,0.5,4,0.5,102,12.1,22,2.6,156,18.4,2,0.2,74,8.7,,,
